Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (3Y Monthly),PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est,ticker,url
137.32,135.83,136.33 x 1400,136.31 x 800,135.66 - 136.70,93.96 - 141.68,"10,529,618","24,449,374",1.04T,0.97,26.93,5.06,2019-10-22 to 2019-10-28,1.84 (1.34%),2019-08-14,154.72,MSFT,http://finance.yahoo.com/quote/MSFT?p=MSFT
9.45,9.36,9.29 x 43500,9.30 x 27000,9.24 - 9.45,7.41 - 10.56,"45,716,898","36,603,920",37.09B,0.97,17.21,0.54,2019-10-23,0.60 (6.35%),2019-07-22,10.73,F,http://finance.yahoo.com/quote/F?p=F
111.36,110.48,110.52 x 800,110.55 x 1200,110.29 - 111.72,84.53 - 119.72,"915,539","1,436,361",33.67B,0.41,26.33,4.20,2019-10-29 to 2019-11-04,1.68 (1.51%),2019-08-16,118.91,YUM,http://finance.yahoo.com/quote/YUM?p=YUM
77.90,77.32,77.23 x 800,77.24 x 900,76.46 - 77.43,61.01 - 82.27,"2,099,497","2,564,639",23.87B,1.28,23.07,3.34,2019-11-18 to 2019-11-22,0.66 (0.84%),2019-07-01,82.58,A,http://finance.yahoo.com/quote/A?p=A
60.23,59.77,59.56 x 800,59.57 x 1000,59.36 - 59.76,52.08 - 63.62,"513,919","1,081,044",155.4B,0.35,23.57,2.53,,1.83 (3.04%),2019-08-08,70,UN,http://finance.yahoo.com/quote/UN?p=UN
124.02,123.40,124.56 x 900,124.58 x 800,123.17 - 125.42,91.34 - 137.92,"304,705","645,793",14.27B,0.68,30.75,4.06,2019-11-04 to 2019-11-08,2.16 (1.74%),2019-09-12,138,BR,http://finance.yahoo.com/quote/BR?p=BR
55.79,54.39,55.70 x 800,55.73 x 1000,54.06 - 55.86,44.28 - 64.02,"3,324,789","3,552,115",29.99B,1.74,12.96,4.31,2019-10-24,0.72 (1.29%),2019-08-20,59.82,LUV,http://finance.yahoo.com/quote/LUV?p=LUV
53.06,52.52,52.84 x 900,52.85 x 800,52.30 - 53.13,40.68 - 53.69,"2,529,635","4,476,719",40.46B,1.22,13.07,4.04,2019-10-17,1.80 (3.39%),2019-08-13,54.47,BBT,http://finance.yahoo.com/quote/BBT?p=BBT
132.41,131.54,128.60 x 800,128.62 x 800,128.29 - 131.93,100.32 - 143.16,"1,237,309","1,718,563",44.38B,0.47,24.88,5.18,2019-10-22,4.12 (3.11%),2019-09-05,139.25,KMB,http://finance.yahoo.com/quote/KMB?p=KMB
195.47,196.16,194.28 x 800,194.31 x 1000,193.51 - 196.16,166.30 - 211.90,"1,089,347","3,182,452",116.5B,0.80,15.42,12.60,2019-10-28 to 2019-11-01,5.80 (2.97%),2019-08-14,214.84,AMGN,http://finance.yahoo.com/quote/AMGN?p=AMGN
96.05,95.06,93.57 x 900,93.60 x 900,93.37 - 95.10,63.76 - 101.14,"985,316","1,945,236",26.82B,0.92,34.48,2.71,2019-10-22 to 2019-10-28,0.60 (0.63%),2019-08-08,101.86,HLT,http://finance.yahoo.com/quote/HLT?p=HLT
53.97,53.70,54.56 x 800,54.57 x 1000,53.68 - 54.91,36.42 - 56.40,"2,514,924","3,954,166",32.91B,0.90,18.80,2.90,2019-09-18,1.96 (3.63%),2019-07-09,53.73,GIS,http://finance.yahoo.com/quote/GIS?p=GIS
70.39,68.96,69.80 x 2900,69.93 x 1400,68.96 - 70.11,48.42 - 75.24,"10,593,965","13,820,020",157.75B,1.88,9.71,7.19,2019-10-15,2.04 (2.90%),2019-08-02,81.7,C,http://finance.yahoo.com/quote/C?p=C
67.30,66.35,65.40 x 800,65.48 x 900,63.01 - 67.11,47.95 - 86.71,"453,197","562,103",1.63B,1.22,13.22,4.94,2019-11-12 to 2019-11-18,0.60 (0.89%),2019-09-27,45.8,DDS,http://finance.yahoo.com/quote/DDS?p=DDS
93.90,93.83,93.25 x 1000,93.26 x 800,92.74 - 93.92,78.00 - 95.70,"1,976,216","2,708,131",67.98B,0.12,20.64,4.52,2019-10-31 to 2019-11-04,3.78 (4.03%),2019-08-15,94.93,DUK,http://finance.yahoo.com/quote/DUK?p=DUK
34.80,34.29,35.47 x 4000,35.48 x 1100,34.22 - 35.58,25.01 - 67.75,"4,181,242","5,290,293",5.51B,0.69,11.74,3.03,2019-11-13 to 2019-11-18,1.48 (4.25%),2019-08-29,32.88,JWN,http://finance.yahoo.com/quote/JWN?p=JWN
30.22,30.21,30.37 x 800,30.38 x 800,29.99 - 30.55,16.82 - 30.88,"1,440,358","1,667,015",2.68B,1.18,12.02,2.52,2019-09-25,0.36 (1.19%),2019-07-31,30.17,KBH,http://finance.yahoo.com/quote/KBH?p=KBH
218.18,217.00,215.16 x 800,215.21 x 1000,215.00 - 217.91,144.75 - 223.45,"794,334","1,007,400",80.54B,1.01,23.04,9.35,2019-10-23 to 2019-10-28,2.08 (0.95%),2019-09-27,227.31,SYK,http://finance.yahoo.com/quote/SYK?p=SYK
197.77,197.28,191.86 x 1400,191.87 x 800,191.56 - 199.08,135.77 - 209.87,"977,814","1,185,842",55.16B,0.67,37.43,5.12,2019-10-28 to 2019-11-04,1.84 (0.93%),2019-09-16,204.24,ECL,http://finance.yahoo.com/quote/ECL?p=ECL
52.54,51.90,52.12 x 3200,52.13 x 1300,51.70 - 52.28,42.36 - 59.59,"9,872,322","21,540,631",231.25B,0.70,12.13,4.30,2019-10-24,1.26 (2.38%),2019-08-06,53.13,INTC,http://finance.yahoo.com/quote/INTC?p=INTC
182.23,180.36,179.16 x 1000,179.20 x 1100,178.17 - 181.55,140.82 - 193.19,"698,294","842,249",23.02B,1.81,15.61,11.48,2019-10-31,3.52 (1.93%),2019-08-27,178,PH,http://finance.yahoo.com/quote/PH?p=PH
48.22,47.50,48.71 x 800,48.72 x 1000,47.48 - 48.98,41.03 - 58.31,"1,354,045","2,853,655",14.54B,1.65,10.77,4.53,2019-11-06 to 2019-11-11,1.92 (3.99%),2019-09-30,49.07,CAH,http://finance.yahoo.com/quote/CAH?p=CAH
9.32,9.22,9.52 x 3200,9.53 x 4000,9.20 - 9.55,7.76 - 12.09,"2,360,674","3,241,073",4.05B,1.69,7.67,1.24,2019-10-21 to 2019-10-25,0.12 (1.31%),2019-09-05,12.92,SLM,http://finance.yahoo.com/quote/SLM?p=SLM
102.42,102.39,102.77 x 800,102.81 x 1000,101.70 - 103.09,88.92 - 106.43,"248,302","365,914",4.74B,0.29,23.06,4.47,2019-10-29 to 2019-11-04,4.00 (3.91%),2019-07-15,103.27,LSI,http://finance.yahoo.com/quote/LSI?p=LSI
297.46,295.41,295.50 x 2200,295.62 x 900,293.67 - 296.91,208.34 - 305.45,"793,334","1,477,690",118.38B,1.14,33.75,8.76,2019-10-22 to 2019-10-28,0.76 (0.26%),2019-09-16,308.73,TMO,http://finance.yahoo.com/quote/TMO?p=TMO
98.68,98.02,97.53 x 800,97.55 x 800,97.41 - 98.38,87.26 - 115.20,"204,298","758,092",14.26B,0.86,18.14,5.38,2019-10-16 to 2019-10-21,3.05 (3.09%),2019-09-05,100.5,GPC,http://finance.yahoo.com/quote/GPC?p=GPC
64.06,63.30,63.44 x 800,63.45 x 800,63.18 - 63.85,51.72 - 82.15,"3,361,334","8,171,668",82.55B,1.00,17.39,3.65,2019-11-04 to 2019-11-08,2.00 (3.12%),2019-07-24,69.83,CVS,http://finance.yahoo.com/quote/CVS?p=CVS
29.91,29.56,29.69 x 800,29.70 x 1400,29.50 - 29.82,25.57 - 35.82,"1,610,531","3,199,200",14.96B,1.08,10.95,2.71,2019-10-23 to 2019-10-28,1.04 (3.48%),2019-09-27,30.38,BEN,http://finance.yahoo.com/quote/BEN?p=BEN
