name,ticker,beta,currprice,pctchg52wks,avgvol,peratio,roe,marketcap,eps,beta_impute,currprice_impute,pctchg52wks_impute,avgvol_impute,peratio_impute,roe_impute,marketcap_impute,eps_impute
Transocean Sedco Forex,RIG,1.41,32.0,-39.12,3.2969999999999997,57.76,2.32,10199.42,0.5539999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U.S. Bancorp,USB,0.6820322858035172,17.8,-13.257642655727983,6.582999999999999,19.2,11.57,34987.64,0.927,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
United Technologies,UTX,1.32,54.44,-20.96,2.85,13.68,26.33,25507.26,3.9810000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UnumProvident Corp.,U,0.81,22.65,-19.82,1.002,8.96,11.22,5480.892,2.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USX-Marathon Group,MRO,0.89,28.3,4.33,1.3459999999999999,9.0,18.28,8742.153,3.1439999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USX-U.S. Steel Group,X,1.28,14.9,-0.25,0.7759999999999999,26.468696733588402,-9.74,1328.1860000000001,-2.149,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
VF Corporation,VFC,0.68,33.76,24.75,0.364,14.97,11.43,3746.347,2.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitesse Semiconductor,VTSS,2.72,9.71,-84.97,6.166,22.6688792845655,-10.85,1849.745,-0.693,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Wal-Mart Stores, Inc.",WMT,0.88,51.9,18.63,6.327999999999999,36.5,20.74,231835.2,1.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Walt Disney Company, The",DIS,0.94,18.25,-47.67,7.026,92.17,1.8,38202.69,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington Mutual Inc.,WM,0.7,31.0,1.22,8.558,9.82,22.49,27274.76,3.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Watson Pharmaceuticals,WPI,0.47,49.62,-21.7,1.3730000000000002,97.68,3.87,5276.243,0.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weyerhaeuser Company,WY,1.1,51.36,11.8,0.682,20.11,8.21,11101.88,2.5540000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Xcel Energy, Inc.",XEL,0.4150746650409571,28.55,12.23,0.727,12.47,13.68,9841.128,2.289,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xerox Corporation,XRX,1.53,7.0,-17.65,2.8280000000000003,105.72964902805946,-10.89,5018.93,-0.568,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
XL Capital Limited,XL,0.6,88.0,12.64,1.864,198.21191013041886,-9.02,10970.61,-3.958,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
